year,month,date,index
2013,1,16,7
2013,1,17,6
2013,1,18,7
2013,1,19,8
2013,1,20,7
2013,1,21,7
2013,1,22,8
2013,1,23,6
2013,1,24,7
2013,1,25,8
2013,1,26,7
2013,1,27,6
2013,1,28,7
2013,1,29,6
2013,1,30,6
2013,1,31,7
2013,2,1,6
2013,2,2,7
2013,2,3,4
2013,2,4,6
2013,2,5,8
2013,2,6,6
2013,2,7,8
2013,2,8,6
2013,2,9,9
2013,2,10,7
2013,2,11,7
2013,2,12,7
2013,2,13,7
2013,2,14,7
2013,2,15,7
2013,2,16,6
2013,2,17,7
2013,2,18,8
2013,2,19,8
2013,2,20,7
2013,2,21,7
2013,2,22,7
2013,2,23,7
2013,2,24,7
2013,2,25,7
2013,2,26,7
2013,2,27,7
2013,2,28,6
2013,3,1,6
2013,3,2,7
2013,3,3,7
2013,3,4,7
2013,3,5,7
2013,3,6,5
2013,3,7,4
2013,3,8,7
2013,3,9,7
2013,3,10,7
2013,3,11,7
2013,3,12,6
2013,3,13,7
2013,3,14,7
2013,3,15,7
2013,3,16,6
2013,3,17,7
2013,3,18,7
2013,3,20,7
2013,3,21,6
2013,3,22,7
2013,3,23,7
2013,3,24,6
2013,3,25,6
2013,3,26,6
2013,3,27,6
2013,3,28,7
2013,3,29,7
2013,3,30,7
2013,3,31,7
2013,4,1,7
2013,4,2,7
2013,4,3,7
2013,4,4,6
2013,4,5,6
2013,4,6,6
2013,4,7,7
2013,4,8,6
2013,4,9,7
2013,4,10,6
2013,4,11,7
2013,4,12,6
2013,4,13,7
2013,4,14,6
2013,4,15,7
2013,4,16,4
2013,4,17,7
2013,4,18,8
2013,4,19,7
2013,4,20,7
2013,4,21,7
2013,4,22,6
2013,4,23,6
2013,4,24,8
2013,4,25,7
2013,4,26,7
2013,4,27,8
2013,4,28,7
2013,4,29,7
2013,4,30,6
2013,5,1,7
2013,5,2,7
2013,5,3,8
2013,5,4,7
2013,5,6,6
2013,5,8,6
2013,5,9,7
2013,5,10,6
2013,5,11,6
2013,5,12,6
2013,5,13,8
2013,5,14,7
2013,5,15,7
2013,5,16,7
2013,5,17,5
2013,5,18,7
2013,5,19,6
2013,5,20,6
2013,5,21,8
2013,5,22,7
2013,5,23,6
2013,5,24,6
2013,5,25,7
2013,5,26,5
2013,5,27,6
2013,5,28,4
2013,5,29,6
2013,5,30,6
2013,5,31,6
2013,6,1,5
2013,6,2,5
2013,6,3,6
2013,6,4,5
2013,6,5,6
2013,6,6,5
2013,6,7,5
2013,6,8,5
2013,6,9,5
2013,6,10,7
2013,6,11,6
2013,6,12,6
2013,6,13,6
2013,6,14,6
2013,6,15,6
2013,6,16,6
2013,6,17,6
2013,6,18,6
2013,6,19,7
2013,6,20,7
2013,6,21,6
2013,6,22,6
2013,6,23,6
2013,6,24,6
2013,6,25,6
2013,6,26,6
2013,6,27,6
2013,6,28,6
2013,6,29,7
2013,6,30,6
2013,7,1,6
2013,7,2,6
2013,7,3,7
2013,7,4,7
2013,7,5,7
2013,7,6,7
2013,7,7,6
2013,7,8,6
2013,7,9,6
2013,7,10,5
2013,7,11,6
2013,7,12,4
2013,7,13,6
2013,7,14,6
2013,7,15,6
2013,7,16,7
2013,7,17,7
2013,7,18,6
2013,7,19,7
2013,7,20,7
2013,7,21,7
2013,7,22,6
2013,7,23,6
2013,7,24,6
2013,7,25,6
2013,7,26,6
2013,7,27,6
2013,7,28,6
2013,7,29,6
2013,7,30,6
2013,7,31,6
2013,8,1,7
2013,8,2,6
2013,8,3,6
2013,8,4,6
2013,8,5,6
2013,8,6,7
2013,8,7,7
2013,8,8,6
2013,8,9,6
2013,8,10,7
2013,8,11,7
2013,8,12,6
2013,8,13,7
2013,8,14,6
2013,8,15,6
2013,8,16,6
2013,8,17,6
2013,8,18,6
2013,8,19,6
2013,8,20,6
2013,8,21,6
2013,8,22,6
2013,8,23,6
2013,8,24,4
2013,8,25,4
2013,8,26,4
2013,8,27,4
2013,8,28,6
2013,8,29,7
2013,8,30,7
2013,8,31,7
2013,9,1,7
2013,9,2,5
2013,9,3,6
2013,9,4,6
2013,9,5,6
2013,9,6,6
2013,9,7,6
2013,9,8,6
2013,9,9,7
2013,9,10,6
2013,9,11,6
2013,9,12,7
2013,9,13,6
2013,9,14,6
2013,9,15,6
2013,9,16,7
2013,9,17,6
2013,9,18,6
2013,9,19,6
2013,9,20,6
2013,9,21,6
2013,9,22,6
2013,9,23,6
2013,9,24,6
2013,9,25,6
2013,9,26,6
2013,9,27,6
2013,9,28,6
2013,9,29,6
2013,9,30,6
2013,10,1,6
2013,10,2,6
2013,10,3,6
2013,10,4,6
2013,10,5,6
2013,10,6,6
2013,10,7,6
2013,10,8,4
2013,10,9,6
2013,10,10,6
2013,10,11,6
2013,10,12,6
2013,10,13,6
2013,10,14,6
2013,10,15,6
2013,10,16,6
2013,10,17,6
2013,10,18,6
2013,10,19,6
2013,10,20,6
2013,10,21,6
2013,10,22,4
2013,10,23,4
2013,10,24,6
2013,10,25,6
2013,10,26,6
2013,10,27,6
2013,10,28,6
2013,10,29,6
2013,10,30,6
2013,10,31,6
2013,11,1,6
2013,11,2,6
2013,11,3,6
2013,11,4,6
2013,11,5,6
2013,11,6,6
2013,11,7,6
2013,11,8,6
2013,11,9,6
2013,11,10,6
2013,11,11,6
2013,11,12,6
2013,11,13,6
2013,11,14,6
2013,11,15,6
2013,11,16,6
2013,11,17,6
2013,11,18,6
2013,11,19,6
2013,11,20,6
2013,11,21,6
2013,11,22,5
2013,11,23,5
2013,11,24,6
2013,11,25,6
2013,11,26,6
2013,11,27,6
2013,11,28,6
2013,11,29,6
2013,11,30,6
2013,12,1,6
2013,12,2,6
2013,12,3,6
2013,12,4,6
2013,12,5,6
2013,12,6,6
2013,12,7,6
2013,12,8,6
2013,12,9,6
2013,12,10,6
2013,12,11,6
2013,12,12,6
2013,12,13,6
2013,12,14,6
2013,12,15,6
2013,12,16,6
2013,12,17,6
2013,12,18,6
2013,12,19,6
2013,12,20,6
2013,12,21,6
2013,12,22,6
2013,12,23,4
2013,12,24,4
2013,12,25,4
2013,12,26,7
2013,12,27,6
2013,12,28,6
2013,12,29,6
2013,12,30,6
2013,12,31,7
